GEA1000,Quantitative Reasoning with Data,4,1,1
DTK1234,Design Thinking,4,1,1
MA1513,Linear Algebra with Differential Equations,2,1,1
CE1101,Principles of Structural and Geotechnical Engineering,4,1,1
PF1101,Fundamentals of Project Management,4,1,1
CE2407A,Engineering Uncertainty Analysis,2,1,1
CS1010E,Programming Methodology,4,1,2
EG1311,Design and Make,4,1,2
MA1511,Engineering Calculus,2,1,2
CE2407B,Introduction to Numerical Methods for Engineers,2,1,2
CE2155,Principles of Structural Mechanics and Materials,4,1,2
UE,Unrestricted Elective,4,1,2
CDE2501,Liveable Cities,4,2,1
EE2211,Introduction to Machine Learning,4,2,1
CE2134,Fuild Mechanics,4,2,1
CE3155A,Structural Behavior,2,2,1
CE3155B,Structural Modelling,2,2,1
GEC1XXX,Cultures and Connections,4,2,1
ES2631,Critique and Communication of Thinking and Design,4,2,2
IE2141,Systems Thinking and Dynamics,4,2,2
CE3115,Stability of Slopes and Earth Retention Systems,4,2,2
GENXXXX,Singapore Studies,4,2,2
GESS1XXX,Communities & Engagement,4,2,2
CDE2000,Creating Narratives,4,3,1
CE3121,Urban Transportation Engineering,4,3,1
CE3165,Concrete Design for Urban Infrastructure,4,3,1
EG2401A,Engineering Professionalism,2,3,1
UE,Unrestricted Elective,4,3,1
UE,Unrestricted Elective,4,3,1
CE3116,Foundation Systems for Urban Infrastructure,4,3,2
CE3132,Hydrology and Free Surface Flows,4,3,2
CE3166,Steel Design for Urban Infrastructure,4,3,2
UE,Unrestricted Elective,4,3,2
UE,Unrestricted Electve,4,3,2
CE4103R,Design Project,8,4,1
UE,Unrestricted Elective,4,4,1
UE,Unrestricted Elective,4,4,1
UE,Unrestricted Elective,4,4,1
EG3611A,Industrial Attachment,10,4,2
UE,Unrestricted Elective,4,4,2
UE,Unrestricted Elective,4,4,2
