CN1101A,Chemical Engineering Principles and Practice I,4,1,1
GEA1000,Quantitative Reasoning with Data,4,1,1
DTK1234,Design Thinking,4,1,1
MA1513,Linear Algebra with Differential Equations,2,1,1
CE2407A,Uncertainty Analysis for Engineers,2,1,1
PF1101,Fundamentals of Project Management,4,1,1
CN2102,Chemical Engineering Principles and Practice II,4,1,2
CS1010E,Programming Methodology,4,1,2
EG1311,Design & Make,4,1,2
MA1511,Engineering Calculus,2,1,2
MA1512,Differential Equations for Engineering,2,1,2
CN2103,Mass & Energy Balance,4,2,1
CN2104,Chemical Engineering Thermodynamics,4,2,1
EE2211,Introduction to Machine Learning,4,2,1
CDE2501,Liveable Cities,4,2,1
CN2105,Reaction Engineering,4,2,2
CN2106,Fluid Mechanics & Heat Transfer,4,2,2
ES2631,Critique and Communication of Thinking and Design,4,2,2
IE2141,Systems Thinking & Dynamics,4,2,2
CN3103,Mass Transfer and Separation Processes,4,3,1
CN3104,Computer‐Aided Chemical Process Simulation,4,3,1
CDE2000,Creating Narratives,4,3,1
EG2401A,Engineering Professionalism,2,3,1
EG3611A,Industrial Attachment,10,3,2
CN4101,Process Control and Safety,4,4,1
CN4118,B.Eng. Dissertation,4,4,1
CN4102,Chemical Engineering Lab,4,4,2
CN4118,B.Eng. Dissertation,4,4,2
