CS1010E,Programming Methodology,4,1,1
EG1311,Design and Make,4,1,1
GE/UE,General Education/Unrestricted Elective,4,1,1
IE1111R,Industrial & Systems Engineering Principles & Practice I,4,1,1
MA1511,Engineering Calculus,2,1,1
MA1512,Differential Equations for Engineering,2,1,1
ST2334,Probability and Statistics,4,1,2
DTK1234,Design Thinking,4,1,2
MA1508E,Linear Algebra for Engineering,4,1,2
IE2111,Industrial & Systems Engineering Principles & Practice II,4,1,2
PF1101,Fundamentals of Project Management,4,1,2
ES2631,Critique and Communication of Thinking and Design,4,2,1
IE2141,Systems Thinking and Dynamics,4,2,1
IE2110,Operations Research I,4,2,1
CS2040/CS2040DE,Data Structures and Algorithms,4,2,1
EG2501/CDE2501,Liveable Cities,4,2,2
EE2211,Introduction to Machine Learning,4,2,2
IE2100,Probability Models with Applications,4,2,2
CDE2000,Creating Narratives,4,2,2
IE3101,Statistics for Engineering Applications,4,3,1
IE3110R,Simulation,4,3,1
Technical Elective 1,Technical Elective,4,3,1
EG2401A,Engineering Professionalism,2,3,1
EG3611A,Industrial Attachment,10,3,2
IE3100R,Systems Design Project,4,4,1
Technical Elective 2,Technical Elective,4,4,1
